"„all the latest parameter estimates for Buzzerbeater in one big sheet, scroll at will“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,10,10,10,,,,,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,34,23,team,2,12,23,team,1,12,123,1,12,123,12,34,team,1,12,team,5,45,345,5,45,345,45,team,5,45,345,,,,Age,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,,Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS,2,2.5,2,4.545454545,5,6.666666667,6.666666667,20,,,,,,,2.5,5,11.36363636,,,,10,13.33333333,25,,,,,,,,,1.5,2,14%,18,1.00,5'9“,175,0.997527377,1.50,1.50,1.50,0.997527377,0.997527377,0.50,0.50,0.50,0.50,,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR,10,20,10,22.72727273,2.5,3.333333333,3.333333333,10,,,,,,,,,,,,,,,,,,,,,,,,,,13%,19,0.95,5'10“,178,0.997527377,1.45,1.45,1.45,0.997527377,0.997527377,0.55,0.55,0.55,0.55,,7,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD,,,,,,,,,2,2.666666667,5,10,13.33333333,25,,,,,,,,,,,,,,,,,,,,12%,20,0.88,5'11“,180,0.997527377,1.40,1.40,1.40,0.997527377,0.997527377,0.60,0.60,0.60,0.60,,6,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA,20,,20,45.45454545,20,26.66666667,26.66666667,80,20,26.66666667,50,2,2.666666667,5,2.5,2.5,5.681818182,6.25,8.333333333,25,,,,,,,,,,,,,,11%,21,0.78,6'0“,183,0.997527377,1.35,1.35,1.35,0.997527377,0.997527377,0.65,0.65,0.65,0.65,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR,20,,20,45.45454545,20,26.66666667,26.66666667,80,20,26.66666667,50,2.5,3.333333333,6.25,2,2,4.545454545,6.25,8.333333333,25,,,,,,,,,,,,,,10%,22,0.70,6'1“,185,0.997527377,1.30,1.30,1.30,0.997527377,0.997527377,0.70,0.70,0.70,0.70,,4,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,,,,,,,,1.666666667,2.222222222,6.666666667,,,,,,,,,,,,,,8%,23,0.60,6'2“,188,0.997527377,1.25,1.25,1.25,0.997527377,0.997527377,0.75,0.75,0.75,0.75,,3,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,,5,,,,,,,,,,,,,,5,11.36363636,,,,2,2.666666667,5,20,26.66666667,50,20,45.45454545,,,,,,7%,24,0.51,6'3“,190,0.997527377,1.20,1.20,1.20,0.997527377,0.997527377,0.80,0.80,0.80,0.80,,2,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ID",,,,,,,,,10,13.33333333,25,,,,,,,,,,20,26.66666667,50,2,2.666666667,5,20,45.45454545,5,6.666666667,12.5,,,6%,25,0.42,6'4“,193,0.997527377,1.15,1.15,1.15,0.997527377,0.997527377,0.85,0.85,0.85,0.85,,1,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.545454545,10,13.33333333,25,,,5%,26,0.35,6'5“,196,0.997527377,1.10,1.10,1.10,0.997527377,0.997527377,0.90,0.90,0.90,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB,,,,,,,,,,,,,,,,,,,,,,,,10,13.33333333,25,,,2,2.666666667,5,,,4%,27,0.27,6'6“,198,0.997527377,1.05,1.05,1.05,0.997527377,0.997527377,0.95,0.95,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS,0.5,0.4,0.5,0.22,0.2,0.15,0.15,0.05,0,0,0,0,0,0,0.4,0.2,0.088,0,0,0,0.1,0.075,0.04,0,0,0,0,0,0,0,0,0,0,3%,28,0.21,6'7“,201,0.997527377,1.00,1.00,1.00,0.997527377,0.997527377,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR,0.1,0.05,0.1,0.044,0.4,0.3,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2%,29,0.16,6'8“,203,0.997527377,0.95,0.95,0.95,0.997527377,0.997527377,1.05,1.05,1.05,1.05,,Elastic coeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD,0,0,0,0,0,0,0,0,0.5,0.375,0.2,0.1,0.075,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2%,30,0.11,6'9“,206,0.997527377,0.90,0.90,0.90,0.997527377,0.997527377,1.10,1.10,1.10,1.10,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA,0.05,0,0.05,0.022,0.05,0.0375,0.0375,0.0125,0.05,0.0375,0.02,0.5,0.375,0.2,0.4,0.4,0.176,0.16,0.12,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,31,0.07,6'10“,208,0.997527377,0.85,0.85,0.85,0.997527377,0.997527377,1.15,1.15,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR,0.05,0,0.05,0.022,0.05,0.0375,0.0375,0.0125,0.05,0.0375,0.02,0.4,0.3,0.16,0.5,0.5,0.22,0.16,0.12,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1%,32,0.05,6'11“,211,0.997527377,0.80,0.80,0.80,0.997527377,0.997527377,1.20,1.20,1.20,1.20,,Xtrain coeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,33,0.03,7'0“,213,0.997527377,0.75,0.75,0.75,0.997527377,0.997527377,1.25,1.25,1.25,1.25,,,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.088,0,0,0,0.5,0.375,0.2,0.05,0.0375,0.02,0.05,0.022,0,0,0,0,0,0%,34,0.02,7'1“,216,0.997527377,0.70,0.70,0.70,0.997527377,0.997527377,1.30,1.30,1.30,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ID",0,0,0,0,0,0,0,0,0.1,0.075,0.04,0,0,0,0,0,0,0,0,0,0.05,0.0375,0.02,0.5,0.375,0.2,0.05,0.022,0.2,0.15,0.08,0,0,0%,35,0.01,7'2“,218,0.997527377,0.65,0.65,0.65,0.997527377,0.997527377,1.35,1.35,1.35,1.35,,Cap coeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.22,0.1,0.075,0.04,0,0,0%,36,0,7'3“,221,0.997527377,0.60,0.60,0.60,0.997527377,0.997527377,1.40,1.40,1.40,1.40,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.075,0.04,0,0,0.5,0.375,0.2,0,0,,,,7'4“,224,0.997527377,0.55,0.55,0.55,0.997527377,0.997527377,1.45,1.45,1.45,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,7'5“,226,0.997527377,0.50,0.50,0.50,0.997527377,0.997527377,1.50,1.50,1.50,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7'6“,229,0.997527377,0.45,0.45,0.45,0.997527377,0.997527377,1.55,1.55,1.55,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ID",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,,,,,,,,,,,,,,,,,,,,,,0.666666667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS,,1,,,1,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OD,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HA,1,1,1,,1,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR,1,1,1,1,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ID",,,1,,,,1,,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,3,3,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
